matrix,alg,bw_mbps,rtt_ms,loss_pct,loss_corr,buffer_pkts,bdp_multiplier,video_throughput_mbps,video_jitter_mbps,video_rebuf_ratio,web_avg_ttfb_s,web_plt_s,large_throughput_mbps,large_fct_s
Loss_Bursty_2%,cubic,100,50,2.0,25,416,1.0,62.68658793517497,9.825685204354608,0.0,0.1015201,1.016192,0.01275352050305553,0.101619
Loss_None,cubic,100,50,0,0,833,2.0,62.66800008846573,9.821229446322027,0.0,0.1017385,1.0185490000000001,0.012717727295029685,0.101905
Loss_0.001%,cubic,100,50,0.001,0,833,2.0,62.22717078654395,9.782224853015016,0.0,0.1019018,1.0204739999999999,0.01265699162060277,0.102394
Loss_1.0%,cubic,100,50,1.0,0,833,2.0,60.78923024701602,13.695130375886102,0.0,0.1019372,1.020395,0.012687348872725136,0.102149
Loss_2.0%,cubic,100,50,2.0,0,833,2.0,61.32359471499727,12.755276707195835,0.0,0.126671,1.267797,0.0011545729015682057,1.122493
Loss_Bursty_2%,cubic,100,50,2.0,25,833,2.0,62.430819805615776,9.782281390622254,0.0,0.1018744,1.020241,0.012721472392638036,0.101875
Loss_None,cubic,100,50,0,0,2083,5.0,62.44766057472864,9.793011205855755,0.0,0.1017149,1.0182120000000001,0.012724345128225269,0.101852
Loss_0.001%,cubic,100,50,0.001,0,2083,5.0,62.54009116424657,9.798997553889878,0.0,0.1015445,1.0163849999999999,0.012621122851438866,0.102685
Loss_1.0%,cubic,100,50,1.0,0,2083,5.0,60.70022149582605,13.673013347667109,0.0,0.1016588,1.017644,0.012767089280964624,0.101511
Loss_2.0%,cubic,100,50,2.0,0,2083,5.0,62.70561929714017,9.830790279695215,0.0,0.1027967,1.0293619999999999,0.012700279288549169,0.102045
Loss_Bursty_2%,cubic,100,50,2.0,25,2083,5.0,62.68468725025828,9.830854102083222,0.0,0.1017729,1.018994,0.012698288278578497,0.102061
Loss_None,cubic,100,50,0,0,4166,10.0,62.603346318576975,9.816553426928968,0.0,0.1016121,1.017294,0.012739730067139163,0.101729
Loss_0.001%,cubic,100,50,0.001,0,4166,10.0,62.698181991748854,9.834096004307844,0.0,0.1018041,1.019269,0.012718600953895072,0.101898
Loss_1.0%,cubic,100,50,1.0,0,4166,10.0,62.627674914350294,9.816469287142684,0.0,0.1016633,1.017811,0.012746997668951815,0.101671
Loss_2.0%,cubic,100,50,2.0,0,4166,10.0,60.69291368952645,13.6416736022506,0.0,0.1017744,1.019123,0.01271523178807947,0.101925
